Hours,R First Decay,R Second Decay,R Third Decay,R Fourth Decay,R Fifth Decay,T First Decay,A First Decay,A Second Decay,A Third Decay,Hour
0.75,0.313042688,0.503526321,0.361912346,0.328809364,1.189828297,0.099372474,,,0.384738978,2.2
0.766666667,0.317619355,0.540567593,0.375705668,0.317424042,1.184226041,0.134819223,,,0.388592547,2.25
0.783333333,0.329153508,0.503526321,0.394397801,0.33263346,1.173114816,0.129677823,,,0.384738978,2.3
0.8,0.329153508,0.569277699,0.413445996,0.336472237,1.173114816,0.114410351,,,,
0.816666667,0.329153508,0.550046337,0.418265283,0.344194283,1.175881069,0.134819223,,,,
0.833333333,0.345528143,0.559615788,0.415852736,0.348077783,1.187023246,0.14518201,,,,
0.85,0.362175376,0.550046337,0.420683664,0.348077783,1.212556548,0.166235419,,,,
0.866666667,0.396325036,0.531177853,0.472869417,0.340325806,1.232876551,0.160930367,,,,
0.883333333,0.411325317,0.503526321,0.511886069,0.355890322,1.244676097,0.129677823,,,,
0.9,0.418910689,0.559615788,0.544233903,0.379700971,1.244676097,0.124562723,,,,
0.916666667,0.413847387,0.598836501,0.560808868,0.391822332,1.23875892,0.129677823,,,,
0.933333333,0.421451986,0.639658496,0.560808868,0.387765531,1.244676097,0.14518201,,,,
0.95,0.447226609,0.579033874,0.546977389,0.395895657,1.247647868,0.139987193,,,,
0.966666667,0.468335572,0.531177853,0.569200526,0.395895657,1.253618035,0.124562723,,,,
0.983333333,0.481758592,0.52187546,0.589059334,0.355890322,1.259624059,0.079667403,,,,
1,0.48717866,0.550046337,0.569200526,0.359819601,1.280933845,0.119473653,,,,
1.016666667,0.48717866,0.559615788,0.597692482,0.387765531,1.271745419,0.139987193,,,,
1.033333333,0.495364245,0.579033874,0.621085361,0.399985642,1.256616538,0.150403954,,,,
1.05,0.528793541,0.629295709,0.682079874,0.399985642,1.265666373,0.109372557,,,,
1.066666667,0.563379121,0.579033874,0.740348782,0.420690316,1.274798857,0.129677823,,,,
1.083333333,0.587119108,0.579033874,0.740348782,0.450416496,1.274798857,0.129677823,,,,
1.1,0.581131066,0.550046337,0.763958648,0.454736157,1.280933845,0.166235419,,,,
1.116666667,0.578150438,0.559615788,0.816510143,0.463431864,1.284015512,0.182321557,,,,
1.133333333,0.578150438,0.58888617,0.849419877,0.450416496,1.299567925,0.187741624,,,,
1.15,0.596168944,0.660711905,0.834659462,0.433322063,1.302707645,0.176930708,,,,
1.166666667,0.626940602,0.785166079,0.784649041,0.404092424,1.290207482,0.176930708,,,,
1.183333333,0.626940602,0.738098568,0.763958648,0.441832752,1.290207482,0.166235419,,,,
1.2,0.626940602,0.761355431,0.784649041,0.47220385,1.287106705,0.193191229,,,,
1.216666667,0.630070495,0.785166079,0.845709298,0.481053465,1.277861646,0.193191229,,,,
1.233333333,0.655468686,0.834558835,0.930702511,0.512658805,1.271745419,0.198670695,,,,
1.25,0.684834581,0.834558835,0.976071116,0.52187546,1.277861646,0.176930708,,,,
1.266666667,0.684834581,0.860201265,1.010409253,0.564435074,1.277861646,0.150403954,,,,
1.283333333,0.684834581,0.79728744,1.032485205,0.598836501,1.290207482,0.160930367,,,,
1.3,0.704902144,0.749659391,1.055059527,0.624154309,1.305857254,0.134819223,,,,
1.316666667,0.708286242,0.715370317,1.097023726,,1.309016814,0.150403954,,,,
1.333333333,0.718507796,0.809557532,1.130925278,,1.299567925,0.176930708,,,,
1.35,0.725380675,0.899941594,1.130925278,,1.293317905,0.193191229,,,,
1.366666667,0.732301118,0.955511445,1.181441068,,1.302707645,0.15565331,,,,
1.383333333,0.742772418,0.899941594,1.234645104,,1.290207482,0.150403954,,,,
1.4,0.760471995,0.927340568,1.256745451,,1.293317905,0.139987193,,,,
1.416666667,0.760471995,0.899941594,,,1.334659245,0.166235419,,,,
1.433333333,0.7784905,0.927340568,,,1.334659245,0.160930367,,,,
1.45,0.782133492,0.94132681,,,1.341173926,0.134819223,,,,
1.466666667,0.782133492,0.94132681,,,1.334659245,0.150403954,,,,
1.483333333,0.796839639,1.045123604,,,1.32175584,0.129677823,,,,
1.5,0.804274618,1.143563677,,,1.312186389,0.139987193,,,,
1.516666667,0.819312495,1.178654996,,,1.315366042,0.176930708,,,,
1.533333333,0.826917094,1.215022641,,,1.32175584,0.193191229,,,,
1.55,0.826917094,1.215022641,,,1.324966116,0.215291576,,,,
1.566666667,0.838433536,1.178654996,,,1.334659245,0.220893832,,,,
1.583333333,0.838433536,1.178654996,,,1.35433201,0.215291576,,,,
1.6,0.853998053,1.126469243,,,1.367665541,0.215291576,,,,
1.616666667,0.857927331,1.178654996,,,1.374399573,0.209720531,,,,
1.633333333,0.87380068,1.375365291,,,1.39833234,0.198670695,,,,
1.65,0.914622675,1.215022641,,,1.401798548,0.232193387,,,,
1.666666667,0.927201457,1.160955419,,,1.422851957,0.261013825,,,,
1.683333333,0.952843888,1.109662125,,,1.405276812,0.237891408,,,,
1.7,0.979161196,1.178654996,,,1.408767217,0.232193387,,,,
1.716666667,0.974726599,1.126469243,,,1.426404358,0.226527649,,,,
1.733333333,0.979161196,1.126469243,,,1.422851957,0.255182905,,,,
1.75,0.979161196,1.196673502,,,1.41578479,0.290689594,,,,
1.766666667,0.974726599,1.375365291,,,1.426404358,0.284683569,,,,
1.783333333,0.979161196,1.332805676,,,1.41931213,0.232193387,,,,
1.8,0.988089827,1.375365291,,,1.426404358,0.249385787,,,,
1.816666667,0.979161196,1.353859085,,,1.458956961,0.226527649,,,,
1.833333333,0.961539595,1.419817053,,,1.458956961,0.215291576,,,,
1.85,0.974726599,1.442806571,,,1.458956961,0.232193387,,,,
1.866666667,0.997098897,1.419817053,,,1.470047648,0.198670695,,,,
1.883333333,1.001634052,1.397344197,,,1.466337069,0.176930708,,,,
1.9,1.006189868,1.49043462,,,1.444358162,0.249385787,,,,
1.916666667,1.015364245,1.566420527,,,1.444358162,0.266878945,,,,
1.933333333,1.062542805,1.593088774,,,1.458956961,0.232193387,,,,
1.95,1.062542805,1.540445041,,,1.451630921,0.220893832,,,,
1.966666667,1.062542805,1.648658626,,,1.437137914,0.209720531,,,,
1.983333333,1.072251619,1.593088774,,,1.455287233,0.198670695,,,,
2,1.048154067,1.620487749,,,1.481262719,0.182321557,,,,
2.016666667,1.043403465,,,,1.488809925,0.220893832,,,,
2.033333333,1.048154067,,,,1.504077397,0.266878945,,,,
2.05,1.086993901,,,,1.488809925,0.290689594,,,,
2.066666667,1.101956773,,,,1.473772047,0.272778667,,,,
2.083333333,1.127403439,,,,1.451630921,0.266878945,,,,
2.1,1.132571409,,,,1.458956961,0.249385787,,,,
2.116666667,1.153514583,,,,1.470047648,0.255182905,,,,
2.133333333,1.153514583,,,,1.473772047,0.278713402,,,,
2.15,1.14298817,,,,1.488809925,0.261013825,,,,
2.166666667,1.148237526,,,,1.507930966,0.308927181,,,,
2.183333333,1.180325841,,,,1.507930966,0.340082349,,,,
2.2,1.191254911,,,,1.481262719,0.315081047,,,,
2.216666667,1.213478048,,,,1.488809925,0.261013825,,,,
2.233333333,1.241970004,,,,1.496414524,0.261013825,,,,
2.25,1.241970004,,,,1.539306089,0.261013825,,,,
2.266666667,1.247767121,,,,1.559427492,0.290689594,,,,
2.283333333,1.207875792,,,,1.592488354,0.359252265,,,,
2.3,1.202304747,,,,1.631037024,0.37223946,,,,
2.316666667,1.213478048,,,,1.600927223,0.352821375,,,,
2.333333333,1.219111866,,,,1.592488354,0.352821375,,,,
2.35,1.265362883,,,,1.600927223,0.37223946,,,,
2.366666667,1.29539517,,,,1.588295476,0.365724779,,,,
2.383333333,1.307665263,,,,1.571697584,0.33377318,,,,
2.4,1.29539517,,,,1.596698887,0.308927181,,,,
2.416666667,1.28327381,,,,1.605173514,0.290689594,,,,
2.433333333,1.247767121,,,,1.622341317,0.315081047,,,,
2.45,1.247767121,,,,1.626679719,0.365724779,,,,
2.466666667,1.28327381,,,,1.666596326,0.352821375,,,,
2.483333333,1.326357396,,,,1.657587256,0.346431577,,,,
2.5,1.377981761,,,,1.644224029,0.346431577,,,,
2.516666667,1.377981761,,,,1.644224029,0.392042088,,,,
2.533333333,1.358308996,,,,1.635413399,0.33377318,,,,
2.55,1.339015793,,,,1.648658626,0.315081047,,,,
2.566666667,1.313857233,,,,1.657587256,0.308927181,,,,
2.583333333,1.307665263,,,,1.648658626,0.308927181,,,,
2.6,1.332666565,,,,1.662081646,0.315081047,,,,
2.616666667,1.358308996,,,,1.653112976,0.378796861,,,,
2.633333333,1.364823677,,,,1.653112976,0.432864082,,,,
2.65,1.398049324,,,,1.671131481,0.412244795,,,,
2.666666667,1.411654976,,,,1.708172753,0.439832752,,,,
2.683333333,1.446501708,,,,1.703466862,0.468203449,,,,
2.7,1.439434541,,,,1.68948062,0.425943639,,,,
2.716666667,1.439434541,,,,1.684861674,0.41907076,,,,
2.733333333,1.460787665,,,,1.703466862,0.405465108,,,,
2.75,1.460787665,,,,1.698783013,0.41907076,,,,
2.766666667,1.432416968,,,,1.703466862,0.412244795,,,,
2.783333333,1.432416968,,,,1.698783013,0.385397545,,,,
2.8,1.482606712,,,,1.680263965,0.359252265,,,,
2.816666667,1.497421798,,,,1.68948062,0.346431577,,,,
2.833333333,1.50491247,,,,1.698783013,0.385397545,,,,
2.85,1.543231334,,,,1.717651497,0.346431577,,,,
2.866666667,1.558979691,,,,1.75649133,0.37223946,,,,
2.883333333,1.599471053,,,,1.796900869,0.378796861,,,,
2.9,1.566947861,,,,1.839012354,0.37223946,,,,
2.916666667,1.520064275,,,,1.833650411,0.412244795,,,,
2.933333333,1.497421798,,,,1.833650411,0.453917491,,,,
2.95,1.543231334,,,,1.844403203,0.461034959,,,,
2.966666667,1.558979691,,,,1.855272875,0.398731076,,,,
2.983333333,1.574980033,,,,1.817734956,0.385397545,,,,
3,1.566947861,,,,1.839012354,0.378796861,,,,
3.016666667,1.591240553,,,,1.84982327,0.352821375,,,,
3.033333333,1.607769855,,,,1.860752341,0.33377318,,,,
3.05,1.616138105,,,,1.882975477,0.340082349,,,,
3.066666667,1.633087663,,,,1.839012354,0.359252265,,,,
3.083333333,1.641671407,,,,1.839012354,0.385397545,,,,
3.1,1.65906315,,,,1.860752341,0.378796861,,,,
3.116666667,1.641671407,,,,1.917264551,0.359252265,,,,
3.133333333,1.599471053,,,,1.946765215,0.378796861,,,,
3.15,1.607769855,,,,1.911467433,0.392042088,,,,
3.166666667,1.607769855,,,,1.866261997,0.432864082,,,,
3.183333333,1.65906315,,,,1.860752341,0.432864082,,,,
3.2,1.667873779,,,,1.877373222,0.439832752,,,,
3.216666667,1.685731397,,,,1.866261997,0.468203449,,,,
3.233333333,1.76053261,,,,1.899973054,0.468203449,,,,
3.25,1.750870699,,,,1.877373222,0.475423697,,,,
3.266666667,1.713130371,,,,1.866261997,0.439832752,,,,
3.283333333,1.685731397,,,,1.871802177,0.412244795,,,,
3.3,1.713130371,,,,1.877373222,0.398731076,,,,
3.316666667,1.685731397,,,,1.871802177,0.439832752,,,,
3.333333333,1.676762727,,,,1.899973054,0.453917491,,,,
3.35,1.731822504,,,,1.917264551,0.446850324,,,,
