House,Average,StdDev,Max,Min,Median
A,10.41860372717937,4.165753649779338,17.44730005305979,5.525627741367503,7.917743809632845
R,8.62964353143968,2.5389225169340435,11.955821090766124,6.135565368663285,8.213593833164657
T,9.225159486094787,3.2383342290083386,13.488010762041386,4.097316756157324,9.912461802518159
