House,Floor,Average,StdDev,Max,Min,Median
A,1,10.4661990033536,2.2071006352609883,11.758462907145868,7.917743809632845,11.722390293282087
A,2,13.86421839791077,5.191904160014078,17.44730005305979,7.910104664527595,16.235250476144923
A,3,6.9253937802737395,1.2129672739639668,7.667477332319871,5.525627741367503,7.583076267133845
R,2,7.520917678330867,1.5144481557256544,9.137797517400367,6.135565368663285,7.2893901489289465
R,3,11.955821090766124,,11.955821090766124,11.955821090766124,11.955821090766124
T,1,11.190271070637879,2.6748172925143114,13.488010762041386,8.25396121720292,11.82884123266933
T,2,8.969328811530852,2.2951521400228105,10.642662888752586,6.352861743321814,9.912461802518159
T,3,4.097316756157324,,4.097316756157324,4.097316756157324,4.097316756157324
