,u,shgc,leakage,lpd,people,elecCVRSME,chwCVRSME,heatCVRSME,elecNMBE,chwNMBE,heatNMBE
0,1.0,1.0,1.0,1.0,1.0,24.605869921905846,2719.0787523094555,50.45927874662389,21.877127095761615,-1830.322498414686,23.12889794258028
1,1.05,1.0,1.0,1.0,1.0,24.604898370379928,2721.073814871462,50.01866027780959,21.87696353720461,-1831.2467329741567,22.56381759194643
2,1.0,1.05,1.0,1.0,1.0,24.34461974445752,2774.2705493410785,49.43855363696354,21.554949523903733,-1870.5182729221526,21.64662610514284
3,1.0,1.0,1.05,1.0,1.0,24.59692718877748,2720.547640052669,50.40221346060831,21.86623063851912,-1831.334489434788,23.053212644243697
4,1.0,1.0,1.0,1.05,1.0,23.314870625030295,2723.41830232913,50.48282028547062,20.319845415742904,-1833.6313124962974,23.199857194816094
5,1.0,1.0,1.0,1.0,1.05,24.53151017327601,2762.5016130202566,49.95620284600921,21.786663142446734,-1857.7207069216552,22.421857439095934
6,1.02,0.95,1.02,1.02,1.02,24.2822602518288,2690.7259217714786,50.995658622139,21.49740697949609,-1808.1807611571346,23.9283187467549
7,1.0300000000000002,0.8999999999999999,1.0300000000000002,1.0300000000000002,1.0300000000000002,24.243161229285946,2649.2996047620245,51.80600145463962,21.45857908024754,-1777.9616008355006,25.056562926608215
8,1.032,0.9600000000000002,1.032,1.032,0.962,24.007516360335156,2652.2466143889237,51.28455131910816,21.167271143244236,-1784.894005683787,24.33687203506286
9,1.0448,0.9440000000000002,1.0448,0.9747999999999999,0.9967999999999999,25.52019192451774,2662.956734041689,51.06696939402373,22.973328195589705,-1789.4940460092762,24.01667199209866
10,1.0627199999999997,0.9216000000000002,0.99272,1.01472,0.9955200000000002,24.58876457117851,2642.4169807393473,51.434156198134986,21.87070702970716,-1774.8511204639854,24.566778037825447
11,1.0940799999999995,0.8824000000000005,0.96408,1.0220799999999999,0.9932800000000004,24.586895913140836,2602.3836565669485,51.971684912944134,21.87555502347196,-1746.148570990942,25.33125058589465
12,1.030352,0.8745600000000002,1.0283520000000004,1.023552,0.9928319999999999,24.59339614690197,2589.7353206051253,52.74120621569128,21.88357761430616,-1737.6925329067096,26.28284920562802
13,1.020528,0.8118400000000001,1.0425280000000008,1.0353279999999998,0.9892479999999999,24.613819727206415,2516.5322970634707,54.34182092482629,21.918421779154965,-1686.1564241848682,28.320121464427363
14,1.0885632000000003,0.7992960000000005,1.0453632000000006,1.0376832,0.9885311999999999,24.594993922283912,2509.28967184305,53.87983984379336,21.898665624883964,-1680.539262670013,27.80938436599242
15,1.1328448000000004,0.6989440000000009,1.068044800000001,1.0565248,0.9827968,24.62581518601175,2390.996561893704,56.02626285813227,21.951846303617824,-1597.8480691540437,30.47543807782479
16,1.0789811200000003,0.7572736000000007,1.009861120000001,1.0955731200000003,0.9861299200000002,23.33338738255007,2460.3242798524993,55.17072184813886,20.385319414455402,-1646.5509494260082,29.433825759192917
17,1.1105735680000004,0.6601830400000004,1.0138055680000013,1.0638023680000002,1.0305818880000002,24.589804877555128,2374.0606969947394,56.87978271423871,21.913057303684994,-1585.5511086593583,31.467486244087368
18,1.1498603520000006,0.5102745600000005,1.004708352000002,1.0797035520000002,1.0648728320000003,24.989953910590714,2177.1619595873826,60.85867639994346,22.409387462856625,-1450.904666338041,35.938545995133325
19,1.1605177088,0.5642928640000013,1.0056889088000016,1.0856837888,0.9765310208,24.655132561244713,2202.822569121977,60.03685382032637,22.00716665785836,-1468.2867908953197,35.07161423144491
