,u,shgc,leakage,lpd,people,elecCVRSME,chwCVRSME,heatCVRSME,elecNMBE,chwNMBE,heatNMBE
72,1.46760167,1.48024224,0.430356061,1.55411169,1.664840487,12.31093493,3750.644928,41.11935214,1.000321118,-2527.498414,-0.796458367
73,1.459798613,1.458245935,0.41693744,1.596199208,1.724490829,12.23604572,3781.577906,41.14923898,-0.329553213,-2547.821311,-1.177543764
74,1.42781281,1.467833715,0.502201995,1.554693164,1.655293965,12.31488135,3733.254835,41.11710965,1.049562177,-2515.716779,-0.223913389
75,1.494144959,1.464740456,0.416343959,1.587211152,1.789297285,12.23919432,3836.204426,41.25011523,-0.218380606,-2584.481599,-2.584930612
76,1.427992055,1.46893639,0.457890349,1.596234653,1.61358533,12.23820602,3704.661323,41.12223201,-0.163826793,-2497.085367,0.491045122
77,1.427564809,1.481105737,0.487526828,1.590268609,1.575458934,12.24437678,3684.407833,41.12260556,0.038619717,-2484.196547,0.757922101
78,1.398589667,1.467403161,0.497343572,1.541756214,1.635351261,12.37011769,3715.491776,41.12210819,1.492705068,-2503.933335,0.232692856
79,1.45311153,1.472774436,0.446906301,1.6073064,1.638185356,12.23804055,3728.344056,41.11631262,-0.570581235,-2512.863629,-0.07370318
80,1.45218183,1.476110596,0.403117176,1.637264806,1.612343906,12.28050388,3712.936086,41.12017199,-1.463241938,-2502.987501,0.321716061
81,1.433905065,1.469902935,0.47743079,1.575336074,1.64455645,12.26157605,3728.201038,41.11671136,0.421388934,-2512.533468,-0.085586928
82,1.442470224,1.486090562,0.480193326,1.584270231,1.545215892,12.25318349,3663.36021,41.12206782,0.265414026,-2470.529309,1.028340948
83,1.437985293,1.467494921,0.450100918,1.594900863,1.661434987,12.23780743,3740.598544,41.1225141,-0.204891514,-2520.781979,-0.260589668
84,1.455563924,1.460836872,0.417766249,1.59429893,1.704322065,12.23674335,3768.014911,41.13548548,-0.24000773,-2538.815396,-0.885942935
85,1.434564588,1.476038521,0.470086683,1.591276189,1.607674717,12.24203802,3705.725305,41.1172928,-0.030774415,-2497.998899,0.369030049
86,1.457765692,1.475847072,0.452281262,1.5863495,1.663831424,12.24375638,3749.290051,41.12156592,0.01736631,-2526.690755,-0.612220204
87,1.434507881,1.473238079,0.465415295,1.566894993,1.649489824,12.27893272,3733.976095,41.11783283,0.660074744,-2516.40467,-0.239256637
88,1.448460618,1.472890347,0.451533549,1.597203548,1.641011473,12.23751092,3729.775821,41.11663923,-0.26302569,-2513.762664,-0.118978593
89,1.42613169,1.468982754,0.459741249,1.592193512,1.614715777,12.24088175,3705.271209,41.12160663,-0.040964161,-2497.46474,0.466507038
90,1.446882966,1.474558818,0.427515903,1.609949913,1.62205448,12.23913757,3717.211598,41.11688448,-0.629535483,-2505.587558,0.171065922
91,1.43714954,1.471066906,0.464952069,1.583989534,1.638930958,12.24813285,3725.463154,41.11703935,0.15858168,-2510.801161,-0.020739166
92,1.459063482,1.47631266,0.447289773,1.589810884,1.661581227,12.24096542,3748.100709,41.12150502,-0.087035334,-2525.934471,-0.575890552
93,1.434364638,1.47081523,0.45662838,1.591597855,1.626432139,12.24094161,3716.03718,41.11824,-0.05319303,-2504.614331,0.210744178
94,1.445761617,1.479128617,0.459541089,1.585782331,1.600860877,12.24789445,3702.339524,41.11224818,0.141493908,-2495.812744,0.347797499
95,1.439929374,1.470403345,0.452460961,1.59262123,1.646291459,12.2394685,3731.20842,41.1184063,-0.118736844,-2514.622462,-0.111772116
96,1.451328236,1.468330947,0.432505034,1.58994502,1.670067845,12.24033073,3747.534751,41.12187759,-0.069691507,-2525.346439,-0.486803344
97,1.4387555,1.474111627,0.460691271,1.590943397,1.623272999,12.24165548,3716.191538,41.11663716,-0.041132899,-2504.820311,0.165902369
98,1.433550159,1.471967633,0.454721257,1.581513601,1.629635698,12.25227362,3718.591791,41.1169582,0.249281277,-2506.276306,0.123324947
99,1.444733003,1.472659668,0.452330476,1.593281061,1.638167529,12.23934026,3726.983711,41.11652568,-0.1349093,-2511.892705,-0.058547689
100,1.451793485,1.474780524,0.447907265,1.587792576,1.648909188,12.24312398,3736.670257,41.1166076,0.006685721,-2518.316661,-0.310877062
101,1.43872185,1.471806554,0.454448101,1.590646536,1.632051401,12.24148525,3721.181772,41.1174242,-0.038228353,-2508.032244,0.084385942
102,1.424887817,1.4682714,0.483048816,1.592951846,1.629795365,12.23985105,3716.999469,41.12025821,-0.093102807,-2505.204975,0.233811094
103,1.447342872,1.47387873,0.443940455,1.588968604,1.638716621,12.24252031,3727.970903,41.11530756,-0.006454774,-2512.546302,-0.111633441
104,1.442751732,1.475006049,0.458083988,1.586510423,1.622164344,12.24598052,3715.686378,41.11480884,0.095134806,-2504.476144,0.139867198
105,1.440634963,1.471554021,0.453866717,1.591093528,1.640259681,12.24074181,3727.42049,41.11726637,-0.065806991,-2512.143916,-0.05073272
106,1.444677391,1.470274724,0.447123856,1.588248308,1.651977478,12.24263473,3734.987086,41.11766302,0.008565648,-2517.080944,-0.215470196
107,1.440235973,1.473152402,0.457299417,1.590269625,1.630449118,12.2418475,3721.19999,41.11605783,-0.030358792,-2508.078904,0.057364522
108,1.436901076,1.471923777,0.457472228,1.584706069,1.633995582,12.2475161,3722.323851,41.1166608,0.142068256,-2508.75516,0.041616652
109,1.438859058,1.47210775,0.45618679,1.586849817,1.635038569,12.2449566,3723.456674,41.11719478,0.072775798,-2509.522171,0.024712697
110,1.445168346,1.473932877,0.441344524,1.59514171,1.631675198,12.23856861,3723.013869,41.11619627,-0.185746841,-2509.319117,0.023023561
111,1.439154242,1.471783399,0.459050182,1.586777578,1.637117018,12.24487071,3724.895809,41.11632252,0.072502602,-2510.456303,-0.018205547
