Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),FRIDGE:Electric Equipment Electricity Energy [J](Hourly),RANGE:Electric Equipment Electricity Energy [J](Hourly),CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),ZONE 1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE 1:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE 1:Zone Air Temperature [C](Hourly),ZONE 1:Zone Air Relative Humidity [%](Hourly),ZONE 1:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),ZONE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE 1:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 03/07  09:00:00,0.4125,0.18749890739677917,98.5,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,8.66594843712321,0.0,19.906655094224797,48.27146393500303,1802.3812024261909,4990307.231847582,22.68552951531632,19.213297717505687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/07  10:00:00,0.0,-0.375,96.875,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,8.65176830623089,0.0,19.90415600359414,48.23261030480343,1800.0697846556937,5107883.112675098,22.694913977902169,19.209534206356755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/07  11:00:00,0.0,-0.9749999999999999,92.5,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,8.624228817160711,0.0,19.903560569012563,48.144504418240718,1798.003928194635,4496606.09014898,22.713456193628337,19.206578685723433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/07  12:00:00,-0.375,-1.8875,88.5,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,8.561537603206773,0.0,19.90111893659811,47.94775061007277,1795.1012388793716,4066482.5835863307,22.734979895795989,19.19875542952093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/07  13:00:00,-0.9749999999999999,-2.6125,87.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,8.442807149624036,0.0,19.897251713590636,47.57476080726239,1789.3693709441364,3696778.818207189,22.755978061912058,19.184762306028217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/07  14:00:00,-0.825,-3.175,82.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,8.30897143173437,0.0,19.896925341967735,47.145515676311187,1784.1918451338166,3369502.6867374705,22.771062136890593,19.17319522993486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/07  15:00:00,-0.9749999999999999,-4.0875,77.125,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,8.180716787923128,0.0,19.896351332471274,46.738124995038429,1781.2875522203495,3980353.3393036138,22.744005403460095,19.161926396144403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/07  16:00:00,-1.2625,-4.625,75.375,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,8.029307312050584,0.0,19.895802102237306,46.260872974163728,1778.5733040234352,4705322.3087660199,22.710299162240035,19.148860662341979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/07  17:00:00,-1.55,-4.8875,75.625,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,7.869853073887294,0.0,19.895488590925799,45.762097479847309,1775.9158312553998,5275253.622633519,22.68131582932767,19.13549221754773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/07  18:00:00,-1.7,-5.0,76.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,7.711299752890491,0.0,19.896038085760944,45.26843192056468,1773.089345433052,6054273.692088897,22.63667940330724,19.123206505596227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,1800.0 
