,Climate,Case,Outage Type,24 hr Ratio,48 hr Ratio,168 hr Ratio,24 Avg ODB,48 Avg ODB,168 Avg ODB,Total 24 hr Radiation,Avg 24 hr Sky Cover,SET Hours
369,20-Mar,Chicago-MDW,Heating,0.075647401,0.073084292,0.123752547,6.138020833,5.22734375,5.269568452,3226.5625,7.239583333,0
371,21-Feb,Chicago-MDW,Heating,0.421902763,0.515059408,0.585914393,2.414583333,4.873697917,4.985565476,1227.875,9.958333333,1278.73
373,21-Feb,Chicago-MDW,Heating,0.302599861,0.385728045,0.44661863,2.414583333,4.873697917,4.985565476,1227.875,9.958333333,677.03
375,21-Feb,Chicago-MDW,Heating,0.171706937,0.222798897,0.243986446,2.414583333,4.873697917,4.985565476,1227.875,9.958333333,318.99
377,21-Feb,Chicago-MDW,Heating,0.241931885,0.310308975,0.357146886,2.414583333,4.873697917,4.985565476,1227.875,9.958333333,14.58
379,21-Feb,Chicago-MDW,Heating,0.117725651,0.15472686,0.155243826,2.414583333,4.873697917,4.985565476,1227.875,9.958333333,0
381,21-Jan,Chicago-MDW,Heating,0.453436033,0.536161915,0.658087738,-13.021875,-10.6078125,-8.941517857,6470.4375,2.802083333,1278.73
383,21-Jan,Chicago-MDW,Heating,0.315631333,0.394859865,0.526347227,-13.021875,-10.6078125,-8.941517857,6470.4375,2.802083333,677.03
385,21-Jan,Chicago-MDW,Heating,0.141946752,0.203213139,0.311997776,-13.021875,-10.6078125,-8.941517857,6470.4375,2.802083333,318.99
387,21-Jan,Chicago-MDW,Heating,0.24290214,0.313725756,0.436256416,-13.021875,-10.6078125,-8.941517857,6470.4375,2.802083333,14.58
389,21-Jan,Chicago-MDW,Heating,0.095176498,0.139197936,0.226259196,-13.021875,-10.6078125,-8.941517857,6470.4375,2.802083333,0
391,21-Mar,Chicago-MDW,Heating,0.357605293,0.455108268,0.569381261,4.316666667,3.670833333,5.13921131,6543.75,4.927083333,1278.73
393,21-Mar,Chicago-MDW,Heating,0.231337577,0.31570535,0.424334848,4.316666667,3.670833333,5.13921131,6543.75,4.927083333,677.03
395,21-Mar,Chicago-MDW,Heating,0.098161953,0.153575841,0.228859033,4.316666667,3.670833333,5.13921131,6543.75,4.927083333,318.99
397,21-Mar,Chicago-MDW,Heating,0.172414409,0.245335699,0.340155763,4.316666667,3.670833333,5.13921131,6543.75,4.927083333,14.58
399,21-Mar,Chicago-MDW,Heating,0.041046454,0.083817463,0.129063152,4.316666667,3.670833333,5.13921131,6543.75,4.927083333,0
401,22-Feb,Chicago-MDW,Heating,0.452379867,0.500850905,0.576316735,7.3328125,7.80390625,3.549404762,921.875,8.697916667,1278.73
403,22-Feb,Chicago-MDW,Heating,0.328745132,0.363825289,0.434190495,7.3328125,7.80390625,3.549404762,921.875,8.697916667,677.03
405,22-Feb,Chicago-MDW,Heating,0.181240239,0.177463515,0.227699451,7.3328125,7.80390625,3.549404762,921.875,8.697916667,318.99
407,22-Feb,Chicago-MDW,Heating,0.260476044,0.278820033,0.344876196,7.3328125,7.80390625,3.549404762,921.875,8.697916667,14.58
409,22-Feb,Chicago-MDW,Heating,0.126514739,0.109517879,0.140917594,7.3328125,7.80390625,3.549404762,921.875,8.697916667,0
411,22-Jan,Chicago-MDW,Heating,0.451540344,0.510482441,0.64749892,-8.19375,-7.661458333,-9.352827381,712.5,10,1278.73
413,22-Jan,Chicago-MDW,Heating,0.328483703,0.38256649,0.519672367,-8.19375,-7.661458333,-9.352827381,712.5,10,677.03
415,22-Jan,Chicago-MDW,Heating,0.187022064,0.218434518,0.317363901,-8.19375,-7.661458333,-9.352827381,712.5,10,318.99
417,22-Jan,Chicago-MDW,Heating,0.26435199,0.308874237,0.4329954,-8.19375,-7.661458333,-9.352827381,712.5,10,14.58
419,22-Jan,Chicago-MDW,Heating,0.131178267,0.154216871,0.232741472,-8.19375,-7.661458333,-9.352827381,712.5,10,0
421,22-Mar,Chicago-MDW,Heating,0.428742207,0.459241415,0.574981643,3.025,3.321875,5.129761905,1565.75,7.53125,1278.73
423,22-Mar,Chicago-MDW,Heating,0.299742034,0.324621658,0.432961878,3.025,3.321875,5.129761905,1565.75,7.53125,677.03
425,22-Mar,Chicago-MDW,Heating,0.159644922,0.166202008,0.243516908,3.025,3.321875,5.129761905,1565.75,7.53125,318.99
427,22-Mar,Chicago-MDW,Heating,0.23878401,0.255497859,0.350653495,3.025,3.321875,5.129761905,1565.75,7.53125,14.58
429,22-Mar,Chicago-MDW,Heating,0.100379338,0.094436407,0.143959201,3.025,3.321875,5.129761905,1565.75,7.53125,0
431,23-Feb,Chicago-MDW,Heating,0.392606067,0.458721817,0.567262728,8.275,9.015625,1.493377976,8378,0.416666667,1278.73
433,23-Feb,Chicago-MDW,Heating,0.254388536,0.312333766,0.423938812,8.275,9.015625,1.493377976,8378,0.416666667,677.03
435,23-Feb,Chicago-MDW,Heating,0.082166209,0.12759559,0.217886027,8.275,9.015625,1.493377976,8378,0.416666667,318.99
437,23-Feb,Chicago-MDW,Heating,0.175356894,0.226450342,0.33591691,8.275,9.015625,1.493377976,8378,0.416666667,14.58
439,23-Feb,Chicago-MDW,Heating,0.024147947,0.051967094,0.130512633,8.275,9.015625,1.493377976,8378,0.416666667,0
441,23-Jan,Chicago-MDW,Heating,0.427806668,0.523834585,0.64513049,-7.129166667,-7.490364583,-10.80505952,3053.625,6.807291667,1278.73
443,23-Jan,Chicago-MDW,Heating,0.303843603,0.388712965,0.51594272,-7.129166667,-7.490364583,-10.80505952,3053.625,6.807291667,677.03
445,23-Jan,Chicago-MDW,Heating,0.15572824,0.208212895,0.308942417,-7.129166667,-7.490364583,-10.80505952,3053.625,6.807291667,318.99
447,23-Jan,Chicago-MDW,Heating,0.238037182,0.31019483,0.428513107,-7.129166667,-7.490364583,-10.80505952,3053.625,6.807291667,14.58
449,23-Jan,Chicago-MDW,Heating,0.109140271,0.147802537,0.226503153,-7.129166667,-7.490364583,-10.80505952,3053.625,6.807291667,0
451,23-Mar,Chicago-MDW,Heating,0.333852972,0.396120836,0.55823216,3.61875,5.16796875,5.384598214,9120.4375,0.125,1278.73
453,23-Mar,Chicago-MDW,Heating,0.216185754,0.264029301,0.417540793,3.61875,5.16796875,5.384598214,9120.4375,0.125,677.03
455,23-Mar,Chicago-MDW,Heating,0.089700388,0.115497599,0.232444314,3.61875,5.16796875,5.384598214,9120.4375,0.125,318.99
457,23-Mar,Chicago-MDW,Heating,0.159494615,0.197283632,0.335924371,3.61875,5.16796875,5.384598214,9120.4375,0.125,14.58
459,23-Mar,Chicago-MDW,Heating,0.034883582,0.043719321,0.135173701,3.61875,5.16796875,5.384598214,9120.4375,0.125,0
461,24-Feb,Chicago-MDW,Heating,0.397577539,0.418610819,0.571820727,9.75625,8.7578125,-0.31235119,1809.875,7.84375,1278.73
463,24-Feb,Chicago-MDW,Heating,0.274742374,0.289500471,0.432615374,9.75625,8.7578125,-0.31235119,1809.875,7.84375,677.03
465,24-Feb,Chicago-MDW,Heating,0.136413961,0.136495866,0.231241046,9.75625,8.7578125,-0.31235119,1809.875,7.84375,318.99
467,24-Feb,Chicago-MDW,Heating,0.210386677,0.218665562,0.347804718,9.75625,8.7578125,-0.31235119,1809.875,7.84375,14.58
469,24-Feb,Chicago-MDW,Heating,0.057668932,0.056335671,0.14086855,9.75625,8.7578125,-0.31235119,1809.875,7.84375,0
471,24-Jan,Chicago-MDW,Heating,0.486804549,0.56252359,0.651072257,-7.8515625,-6.825,-11.95438988,1077.0625,9.359375,1278.73
473,24-Jan,Chicago-MDW,Heating,0.352424626,0.42550549,0.522133401,-7.8515625,-6.825,-11.95438988,1077.0625,9.359375,677.03
475,24-Jan,Chicago-MDW,Heating,0.18375735,0.235173963,0.314323334,-7.8515625,-6.825,-11.95438988,1077.0625,9.359375,318.99
477,24-Jan,Chicago-MDW,Heating,0.279695713,0.34314291,0.434682082,-7.8515625,-6.825,-11.95438988,1077.0625,9.359375,14.58
479,24-Jan,Chicago-MDW,Heating,0.132499258,0.170964166,0.230737423,-7.8515625,-6.825,-11.95438988,1077.0625,9.359375,0
481,24-Mar,Chicago-MDW,Heating,0.333271416,0.433208826,0.57205503,6.7171875,7.286979167,5.387127976,5384.125,3.625,1278.73
483,24-Mar,Chicago-MDW,Heating,0.217715837,0.297499279,0.433899342,6.7171875,7.286979167,5.387127976,5384.125,3.625,677.03
485,24-Mar,Chicago-MDW,Heating,0.099283359,0.145852724,0.251524947,6.7171875,7.286979167,5.387127976,5384.125,3.625,318.99
487,24-Mar,Chicago-MDW,Heating,0.165685924,0.230660256,0.353928506,6.7171875,7.286979167,5.387127976,5384.125,3.625,14.58
489,24-Mar,Chicago-MDW,Heating,0.029931877,0.063885007,0.152918398,6.7171875,7.286979167,5.387127976,5384.125,3.625,0
491,25-Feb,Chicago-MDW,Heating,0.329238151,0.410532638,0.583230866,7.759375,7.157291667,-1.653571429,4622,9.583333333,1278.73
493,25-Feb,Chicago-MDW,Heating,0.211524347,0.280401714,0.443792723,7.759375,7.157291667,-1.653571429,4622,9.583333333,677.03
495,25-Feb,Chicago-MDW,Heating,0.087686819,0.134363488,0.240732399,7.759375,7.157291667,-1.653571429,4622,9.583333333,318.99
497,25-Feb,Chicago-MDW,Heating,0.154871437,0.213792344,0.35885317,7.759375,7.157291667,-1.653571429,4622,9.583333333,14.58
499,25-Feb,Chicago-MDW,Heating,0.032231795,0.06698883,0.150796969,7.759375,7.157291667,-1.653571429,4622,9.583333333,0
501,25-Jan,Chicago-MDW,Heating,0.47519207,0.532022115,0.642329234,-5.7984375,-6.51171875,-13.1156994,586.8125,9.875,1278.73
503,25-Jan,Chicago-MDW,Heating,0.3460275,0.400252157,0.513875059,-5.7984375,-6.51171875,-13.1156994,586.8125,9.875,677.03
505,25-Jan,Chicago-MDW,Heating,0.188980999,0.227166854,0.308367107,-5.7984375,-6.51171875,-13.1156994,586.8125,9.875,318.99
507,25-Jan,Chicago-MDW,Heating,0.275684387,0.322801632,0.427298969,-5.7984375,-6.51171875,-13.1156994,586.8125,9.875,14.58
509,25-Jan,Chicago-MDW,Heating,0.136371221,0.164737277,0.225005783,-5.7984375,-6.51171875,-13.1156994,586.8125,9.875,0
511,25-Mar,Chicago-MDW,Heating,0.421888988,0.487467761,0.610223094,7.856770833,6.535677083,6.501636905,1679.6875,7.302083333,1278.73
513,25-Mar,Chicago-MDW,Heating,0.290169982,0.348677947,0.471615971,7.856770833,6.535677083,6.501636905,1679.6875,7.302083333,677.03
515,25-Mar,Chicago-MDW,Heating,0.150320865,0.186974816,0.280835888,7.856770833,6.535677083,6.501636905,1679.6875,7.302083333,318.99
517,25-Mar,Chicago-MDW,Heating,0.22783263,0.277330967,0.387159513,7.856770833,6.535677083,6.501636905,1679.6875,7.302083333,14.58
519,25-Mar,Chicago-MDW,Heating,0.080553922,0.109983977,0.179362014,7.856770833,6.535677083,6.501636905,1679.6875,7.302083333,0
521,26-Feb,Chicago-MDW,Heating,0.38136341,0.493000057,0.603416521,6.555208333,-0.31953125,-2.574553571,1183.125,9.916666667,1278.73
523,26-Feb,Chicago-MDW,Heating,0.26492887,0.355334039,0.465448232,6.555208333,-0.31953125,-2.574553571,1183.125,9.916666667,677.03
525,26-Feb,Chicago-MDW,Heating,0.141482748,0.184351251,0.260018767,6.555208333,-0.31953125,-2.574553571,1183.125,9.916666667,318.99
527,26-Feb,Chicago-MDW,Heating,0.209972375,0.283758718,0.380174564,6.555208333,-0.31953125,-2.574553571,1183.125,9.916666667,14.58
529,26-Feb,Chicago-MDW,Heating,0.082811107,0.120670655,0.167825562,6.555208333,-0.31953125,-2.574553571,1183.125,9.916666667,0
531,26-Jan,Chicago-MDW,Heating,0.444236775,0.516802452,0.637793562,-7.225,-10.29791667,-15.49360119,927.25,8.072916667,1278.73
533,26-Jan,Chicago-MDW,Heating,0.320108367,0.384601402,0.50905939,-7.225,-10.29791667,-15.49360119,927.25,8.072916667,677.03
535,26-Jan,Chicago-MDW,Heating,0.173496314,0.209915371,0.300869771,-7.225,-10.29791667,-15.49360119,927.25,8.072916667,318.99
537,26-Jan,Chicago-MDW,Heating,0.254547633,0.308625517,0.422806448,-7.225,-10.29791667,-15.49360119,927.25,8.072916667,14.58
539,26-Jan,Chicago-MDW,Heating,0.125643111,0.150380517,0.218696036,-7.225,-10.29791667,-15.49360119,927.25,8.072916667,0
541,26-Mar,Chicago-MDW,Heating,0.42985013,0.473401627,0.616422802,5.214583333,5.220052083,8.108110119,1458.1875,9.958333333,1278.73
543,26-Mar,Chicago-MDW,Heating,0.299689715,0.342174864,0.478724014,5.214583333,5.220052083,8.108110119,1458.1875,9.958333333,677.03
545,26-Mar,Chicago-MDW,Heating,0.159279137,0.194606768,0.280835339,5.214583333,5.220052083,8.108110119,1458.1875,9.958333333,318.99
547,26-Mar,Chicago-MDW,Heating,0.237756803,0.275850027,0.390210485,5.214583333,5.220052083,8.108110119,1458.1875,9.958333333,14.58
549,26-Mar,Chicago-MDW,Heating,0.101936111,0.125078846,0.179626968,5.214583333,5.220052083,8.108110119,1458.1875,9.958333333,0
551,27-Feb,Chicago-MDW,Heating,0.477752707,0.522890866,0.613838699,-7.194270833,-7.41640625,-3.327008929,2227.375,9.125,1278.73
553,27-Feb,Chicago-MDW,Heating,0.337300579,0.381558297,0.475500834,-7.194270833,-7.41640625,-3.327008929,2227.375,9.125,677.03
555,27-Feb,Chicago-MDW,Heating,0.165568634,0.192905971,0.267249142,-7.194270833,-7.41640625,-3.327008929,2227.375,9.125,318.99
557,27-Feb,Chicago-MDW,Heating,0.26623277,0.30356939,0.388726654,-7.194270833,-7.41640625,-3.327008929,2227.375,9.125,14.58
559,27-Feb,Chicago-MDW,Heating,0.114666482,0.129572144,0.175100254,-7.194270833,-7.41640625,-3.327008929,2227.375,9.125,0
561,27-Jan,Chicago-MDW,Heating,0.451047215,0.518514749,0.639533774,-13.37083333,-14.6359375,-17.77395833,3694.5625,5.317708333,1278.73
563,27-Jan,Chicago-MDW,Heating,0.321564955,0.386001584,0.510279948,-13.37083333,-14.6359375,-17.77395833,3694.5625,5.317708333,677.03
565,27-Jan,Chicago-MDW,Heating,0.162489503,0.209016579,0.297793544,-13.37083333,-14.6359375,-17.77395833,3694.5625,5.317708333,318.99
567,27-Jan,Chicago-MDW,Heating,0.252868124,0.310088589,0.423381304,-13.37083333,-14.6359375,-17.77395833,3694.5625,5.317708333,14.58
569,27-Jan,Chicago-MDW,Heating,0.113071133,0.147955838,0.215219045,-13.37083333,-14.6359375,-17.77395833,3694.5625,5.317708333,0
571,27-Mar,Chicago-MDW,Heating,0.365398727,0.442398391,0.596440465,5.225520833,4.738020833,10.0999256,1457.5,10,1278.73
573,27-Mar,Chicago-MDW,Heating,0.255814332,0.319491189,0.459878862,5.225520833,4.738020833,10.0999256,1457.5,10,677.03
575,27-Mar,Chicago-MDW,Heating,0.150882697,0.187993439,0.258336306,5.225520833,4.738020833,10.0999256,1457.5,10,318.99
577,27-Mar,Chicago-MDW,Heating,0.206507744,0.258712387,0.36855974,5.225520833,4.738020833,10.0999256,1457.5,10,14.58
579,27-Mar,Chicago-MDW,Heating,0.097215457,0.122094569,0.156589884,5.225520833,4.738020833,10.0999256,1457.5,10,0
581,28-Feb,Chicago-MDW,Heating,0.414388393,0.472142614,0.594191483,-7.638541667,-7.348958333,-2.321428571,7773.25,1.072916667,1278.73
583,28-Feb,Chicago-MDW,Heating,0.286561084,0.33735284,0.457754189,-7.638541667,-7.348958333,-2.321428571,7773.25,1.072916667,677.03
585,28-Feb,Chicago-MDW,Heating,0.134595488,0.164274307,0.25931895,-7.638541667,-7.348958333,-2.321428571,7773.25,1.072916667,318.99
587,28-Feb,Chicago-MDW,Heating,0.22172927,0.263767358,0.372790575,-7.638541667,-7.348958333,-2.321428571,7773.25,1.072916667,14.58
589,28-Feb,Chicago-MDW,Heating,0.08364168,0.10076756,0.167048744,-7.638541667,-7.348958333,-2.321428571,7773.25,1.072916667,0
591,28-Jan,Chicago-MDW,Heating,0.443719709,0.517237862,0.642652748,-15.90104167,-17.13020833,-18.69546131,1425.625,8.723958333,1278.73
593,28-Jan,Chicago-MDW,Heating,0.320418477,0.386566442,0.513856914,-15.90104167,-17.13020833,-18.69546131,1425.625,8.723958333,677.03
595,28-Jan,Chicago-MDW,Heating,0.174049193,0.210368969,0.299367352,-15.90104167,-17.13020833,-18.69546131,1425.625,8.723958333,318.99
597,28-Jan,Chicago-MDW,Heating,0.256316963,0.31135943,0.426581617,-15.90104167,-17.13020833,-18.69546131,1425.625,8.723958333,14.58
599,28-Jan,Chicago-MDW,Heating,0.124610389,0.150006595,0.216512908,-15.90104167,-17.13020833,-18.69546131,1425.625,8.723958333,0
601,28-Mar,Chicago-MDW,Heating,0.392907142,0.452693922,0.56464618,4.250520833,4.5296875,11.56994048,1650.5,9.973958333,1278.73
603,28-Mar,Chicago-MDW,Heating,0.274811653,0.324250761,0.423956642,4.250520833,4.5296875,11.56994048,1650.5,9.973958333,677.03
605,28-Mar,Chicago-MDW,Heating,0.153945279,0.179783537,0.209444744,4.250520833,4.5296875,11.56994048,1650.5,9.973958333,318.99
607,28-Mar,Chicago-MDW,Heating,0.219214069,0.258417556,0.327610642,4.250520833,4.5296875,11.56994048,1650.5,9.973958333,14.58
609,28-Mar,Chicago-MDW,Heating,0.100522708,0.113977875,0.109298879,4.250520833,4.5296875,11.56994048,1650.5,9.973958333,0
611,29-Jan,Chicago-MDW,Heating,0.453725135,0.517981227,0.653043305,-18.359375,-16.76692708,-17.80580357,6155.5625,0.875,1278.73
613,29-Jan,Chicago-MDW,Heating,0.324547003,0.385835368,0.523236812,-18.359375,-16.76692708,-17.80580357,6155.5625,0.875,677.03
615,29-Jan,Chicago-MDW,Heating,0.158444423,0.202897543,0.299573928,-18.359375,-16.76692708,-17.80580357,6155.5625,0.875,318.99
617,29-Jan,Chicago-MDW,Heating,0.254000721,0.307990327,0.432933299,-18.359375,-16.76692708,-17.80580357,6155.5625,0.875,14.58
619,29-Jan,Chicago-MDW,Heating,0.110468608,0.141616564,0.215255766,-18.359375,-16.76692708,-17.80580357,6155.5625,0.875,0
621,29-Mar,Chicago-MDW,Heating,0.375951789,0.454494681,0.527373165,4.808854167,4.22265625,12.38370536,3209,9.609375,1278.73
623,29-Mar,Chicago-MDW,Heating,0.255588275,0.322851051,0.377800977,4.808854167,4.22265625,12.38370536,3209,9.609375,677.03
625,29-Mar,Chicago-MDW,Heating,0.130299213,0.173881751,0.158343079,4.808854167,4.22265625,12.38370536,3209,9.609375,318.99
627,29-Mar,Chicago-MDW,Heating,0.198365448,0.255626753,0.280231846,4.808854167,4.22265625,12.38370536,3209,9.609375,14.58
629,29-Mar,Chicago-MDW,Heating,0.077264473,0.108536042,0.05869181,4.808854167,4.22265625,12.38370536,3209,9.609375,0
631,2-Feb,Chicago-MDW,Heating,0.465714476,0.537267201,0.684168898,-23.1875,-21.50442708,-5.97172619,7187.9375,0,1278.73
633,2-Feb,Chicago-MDW,Heating,0.335296737,0.40231424,0.55577939,-23.1875,-21.50442708,-5.97172619,7187.9375,0,677.03
635,2-Feb,Chicago-MDW,Heating,0.160902395,0.203593385,0.314789591,-23.1875,-21.50442708,-5.97172619,7187.9375,0,318.99
637,2-Feb,Chicago-MDW,Heating,0.262695035,0.320324033,0.455930642,-23.1875,-21.50442708,-5.97172619,7187.9375,0,14.58
639,2-Feb,Chicago-MDW,Heating,0.112906651,0.143050079,0.224270862,-23.1875,-21.50442708,-5.97172619,7187.9375,0,0
641,2-Jan,Chicago-MDW,Heating,0.371226945,0.48609347,0.62581287,4.854166667,2.6640625,-4.588541667,922.875,9.651041667,1278.73
643,2-Jan,Chicago-MDW,Heating,0.247821633,0.346666304,0.487766989,4.854166667,2.6640625,-4.588541667,922.875,9.651041667,677.03
645,2-Jan,Chicago-MDW,Heating,0.112875253,0.172573956,0.266912262,4.854166667,2.6640625,-4.588541667,922.875,9.651041667,318.99
647,2-Jan,Chicago-MDW,Heating,0.183367966,0.267231899,0.394635338,4.854166667,2.6640625,-4.588541667,922.875,9.651041667,14.58
649,2-Jan,Chicago-MDW,Heating,0.064874357,0.108988058,0.179031278,4.854166667,2.6640625,-4.588541667,922.875,9.651041667,0
651,2-Mar,Chicago-MDW,Heating,0.355920785,0.428896543,0.578731353,-4.365104167,-1.998697917,-1.211830357,9024.5,0.125,1278.73
653,2-Mar,Chicago-MDW,Heating,0.241579529,0.302610548,0.445880877,-4.365104167,-1.998697917,-1.211830357,9024.5,0.125,677.03
655,2-Mar,Chicago-MDW,Heating,0.118734312,0.158970832,0.260524806,-4.365104167,-1.998697917,-1.211830357,9024.5,0.125,318.99
657,2-Mar,Chicago-MDW,Heating,0.186564221,0.237659758,0.364317542,-4.365104167,-1.998697917,-1.211830357,9024.5,0.125,14.58
659,2-Mar,Chicago-MDW,Heating,0.066385275,0.091622164,0.17089352,-4.365104167,-1.998697917,-1.211830357,9024.5,0.125,0
661,30-Jan,Chicago-MDW,Heating,0.426691058,0.503390118,0.660088649,-15.17447917,-15.57760417,-15.8359375,3697.3125,4.677083333,1278.73
663,30-Jan,Chicago-MDW,Heating,0.30684772,0.374249555,0.530931989,-15.17447917,-15.57760417,-15.8359375,3697.3125,4.677083333,677.03
665,30-Jan,Chicago-MDW,Heating,0.163545932,0.200443232,0.305814338,-15.17447917,-15.57760417,-15.8359375,3697.3125,4.677083333,318.99
667,30-Jan,Chicago-MDW,Heating,0.243370341,0.299188243,0.439640999,-15.17447917,-15.57760417,-15.8359375,3697.3125,4.677083333,14.58
669,30-Jan,Chicago-MDW,Heating,0.113531675,0.14037258,0.219747973,-15.17447917,-15.57760417,-15.8359375,3697.3125,4.677083333,0
671,30-Mar,Chicago-MDW,Heating,0.403734425,0.50792434,0.50196286,3.636458333,9.077604167,13.44910714,1696.125,9.973958333,1278.73
673,30-Mar,Chicago-MDW,Heating,0.2818062,0.373255398,0.345932205,3.636458333,9.077604167,13.44910714,1696.125,9.973958333,677.03
675,30-Mar,Chicago-MDW,Heating,0.155611616,0.211337594,0.117579959,3.636458333,9.077604167,13.44910714,1696.125,9.973958333,318.99
677,30-Mar,Chicago-MDW,Heating,0.225315632,0.298229994,0.246054535,3.636458333,9.077604167,13.44910714,1696.125,9.973958333,14.58
679,30-Mar,Chicago-MDW,Heating,0.102000976,0.135568739,0.017350399,3.636458333,9.077604167,13.44910714,1696.125,9.973958333,0
681,31-Jan,Chicago-MDW,Heating,0.453175972,0.526279968,0.683328256,-15.98072917,-19.21223958,-13.0156994,5149.0625,2.489583333,1278.73
683,31-Jan,Chicago-MDW,Heating,0.323312487,0.390818257,0.553773531,-15.98072917,-19.21223958,-13.0156994,5149.0625,2.489583333,677.03
685,31-Jan,Chicago-MDW,Heating,0.157424523,0.198086366,0.316357224,-15.98072917,-19.21223958,-13.0156994,5149.0625,2.489583333,318.99
687,31-Jan,Chicago-MDW,Heating,0.252521323,0.310875293,0.458174931,-15.98072917,-19.21223958,-13.0156994,5149.0625,2.489583333,14.58
689,31-Jan,Chicago-MDW,Heating,0.109981863,0.139719177,0.228044069,-15.98072917,-19.21223958,-13.0156994,5149.0625,2.489583333,0
691,31-Mar,Chicago-MDW,Heating,0.400831598,0.396299524,0.428745843,14.51875,16.81041667,15.30119048,1651.6875,9.984375,1278.73
693,31-Mar,Chicago-MDW,Heating,0.291796556,0.271303319,0.259076235,14.51875,16.81041667,15.30119048,1651.6875,9.984375,677.03
695,31-Mar,Chicago-MDW,Heating,0.158436942,0.075073158,0.00768291,14.51875,16.81041667,15.30119048,1651.6875,9.984375,318.99
697,31-Mar,Chicago-MDW,Heating,0.224663671,0.171687809,0.149855618,14.51875,16.81041667,15.30119048,1651.6875,9.984375,14.58
699,31-Mar,Chicago-MDW,Heating,0.092592185,-0.005454456,-0.100213509,14.51875,16.81041667,15.30119048,1651.6875,9.984375,0
701,3-Feb,Chicago-MDW,Heating,0.460869092,0.539688817,0.673440467,-19.82135417,-14.74739583,-1.658258929,6634.125,0,1278.73
703,3-Feb,Chicago-MDW,Heating,0.331471085,0.404166881,0.543249279,-19.82135417,-14.74739583,-1.658258929,6634.125,0,677.03
705,3-Feb,Chicago-MDW,Heating,0.161311254,0.204580777,0.304266289,-19.82135417,-14.74739583,-1.658258929,6634.125,0,318.99
707,3-Feb,Chicago-MDW,Heating,0.259076797,0.31949433,0.441245429,-19.82135417,-14.74739583,-1.658258929,6634.125,0,14.58
709,3-Feb,Chicago-MDW,Heating,0.11236125,0.141691172,0.212754136,-19.82135417,-14.74739583,-1.658258929,6634.125,0,0
711,3-Jan,Chicago-MDW,Heating,0.468719278,0.507050584,0.637348539,0.473958333,-2.6953125,-6.034970238,374.625,9.958333333,1278.73
713,3-Jan,Chicago-MDW,Heating,0.332421634,0.369127333,0.500583252,0.473958333,-2.6953125,-6.034970238,374.625,9.958333333,677.03
715,3-Jan,Chicago-MDW,Heating,0.167921515,0.187084145,0.278393507,0.473958333,-2.6953125,-6.034970238,374.625,9.958333333,318.99
717,3-Jan,Chicago-MDW,Heating,0.258696272,0.289305375,0.407552467,0.473958333,-2.6953125,-6.034970238,374.625,9.958333333,14.58
719,3-Jan,Chicago-MDW,Heating,0.113310041,0.125117195,0.189621263,0.473958333,-2.6953125,-6.034970238,374.625,9.958333333,0
721,3-Mar,Chicago-MDW,Heating,0.369059247,0.449362555,0.600403428,0.367708333,0.840104167,0.05639881,3667,5.927083333,1278.73
723,3-Mar,Chicago-MDW,Heating,0.256354796,0.325164072,0.46745422,0.367708333,0.840104167,0.05639881,3667,5.927083333,677.03
725,3-Mar,Chicago-MDW,Heating,0.142065374,0.18481261,0.275924521,0.367708333,0.840104167,0.05639881,3667,5.927083333,318.99
727,3-Mar,Chicago-MDW,Heating,0.203092257,0.260403861,0.38335609,0.367708333,0.840104167,0.05639881,3667,5.927083333,14.58
729,3-Mar,Chicago-MDW,Heating,0.084638559,0.117204161,0.184552337,0.367708333,0.840104167,0.05639881,3667,5.927083333,0
731,4-Feb,Chicago-MDW,Heating,0.458397025,0.530434359,0.653991534,-9.6734375,-7.121875,1.356994048,7012.9375,1.083333333,1278.73
733,4-Feb,Chicago-MDW,Heating,0.328123625,0.394351077,0.520658876,-9.6734375,-7.121875,1.356994048,7012.9375,1.083333333,677.03
735,4-Feb,Chicago-MDW,Heating,0.156316178,0.202704464,0.287066906,-9.6734375,-7.121875,1.356994048,7012.9375,1.083333333,318.99
737,4-Feb,Chicago-MDW,Heating,0.252181909,0.30913591,0.418249611,-9.6734375,-7.121875,1.356994048,7012.9375,1.083333333,14.58
739,4-Feb,Chicago-MDW,Heating,0.105004161,0.137192199,0.196574564,-9.6734375,-7.121875,1.356994048,7012.9375,1.083333333,0
741,4-Jan,Chicago-MDW,Heating,0.41520441,0.508878554,0.642475301,-5.864583333,-10.3515625,-5.98735119,3731.25,8.28125,1278.73
743,4-Jan,Chicago-MDW,Heating,0.287286537,0.367751092,0.505932482,-5.864583333,-10.3515625,-5.98735119,3731.25,8.28125,677.03
745,4-Jan,Chicago-MDW,Heating,0.133612728,0.176178812,0.281597545,-5.864583333,-10.3515625,-5.98735119,3731.25,8.28125,318.99
747,4-Jan,Chicago-MDW,Heating,0.220278207,0.28772448,0.412131022,-5.864583333,-10.3515625,-5.98735119,3731.25,8.28125,14.58
749,4-Jan,Chicago-MDW,Heating,0.086908619,0.116003037,0.191449588,-5.864583333,-10.3515625,-5.98735119,3731.25,8.28125,0
751,4-Mar,Chicago-MDW,Heating,0.400769346,0.477668945,0.617956633,1.3125,1.300260417,1.500372024,1450.25,9.541666667,1278.73
753,4-Mar,Chicago-MDW,Heating,0.283465082,0.350634488,0.483198005,1.3125,1.300260417,1.500372024,1450.25,9.541666667,677.03
