,Climate,Case,Outage Type,24 hr Ratio,48 hr Ratio,168 hr Ratio,24 Avg ODB,48 Avg ODB,168 Avg ODB,Total 24 hr Radiation,Avg 24 hr Sky Cover,SET Hours
75,12-Jan,Chicago-MDW,Heating,0.141464516,0.186581982,0.266077615,-0.786458333,-1.166145833,-4.579166667,2718.125,8.052083333,318.99
77,12-Jan,Chicago-MDW,Heating,0.217698218,0.28095567,0.38197987,-0.786458333,-1.166145833,-4.579166667,2718.125,8.052083333,14.58
79,12-Jan,Chicago-MDW,Heating,0.08988348,0.122637629,0.180243117,-0.786458333,-1.166145833,-4.579166667,2718.125,8.052083333,0
81,12-Mar,Chicago-MDW,Heating,0.323592124,0.31740429,0.445224429,16.1296875,16.12734375,11.76674107,4346.375,5.619791667,1278.73
83,12-Mar,Chicago-MDW,Heating,0.172409749,0.158766889,0.283156564,16.1296875,16.12734375,11.76674107,4346.375,5.619791667,677.03
85,12-Mar,Chicago-MDW,Heating,-0.058506149,-0.073508702,0.072678583,16.1296875,16.12734375,11.76674107,4346.375,5.619791667,318.99
87,12-Mar,Chicago-MDW,Heating,0.073114874,0.055800279,0.192570742,16.1296875,16.12734375,11.76674107,4346.375,5.619791667,14.58
89,12-Mar,Chicago-MDW,Heating,-0.161446003,-0.183339921,-0.040835829,16.1296875,16.12734375,11.76674107,4346.375,5.619791667,0
91,13-Feb,Chicago-MDW,Heating,0.430770699,0.492639448,0.628312986,-0.827604167,-2.007552083,-1.252083333,977.5625,7.21875,1278.73
93,13-Feb,Chicago-MDW,Heating,0.308392865,0.363174166,0.493919878,-0.827604167,-2.007552083,-1.252083333,977.5625,7.21875,677.03
95,13-Feb,Chicago-MDW,Heating,0.173099664,0.206648323,0.285115368,-0.827604167,-2.007552083,-1.252083333,977.5625,7.21875,318.99
97,13-Feb,Chicago-MDW,Heating,0.246415864,0.292161782,0.403585572,-0.827604167,-2.007552083,-1.252083333,977.5625,7.21875,14.58
99,13-Feb,Chicago-MDW,Heating,0.122410373,0.144111545,0.194482758,-0.827604167,-2.007552083,-1.252083333,977.5625,7.21875,0
101,13-Jan,Chicago-MDW,Heating,0.446120182,0.490079317,0.606821391,-1.545833333,-3.746875,-5.715327381,1680.625,9.708333333,1278.73
103,13-Jan,Chicago-MDW,Heating,0.316968443,0.357428413,0.472919978,-1.545833333,-3.746875,-5.715327381,1680.625,9.708333333,677.03
105,13-Jan,Chicago-MDW,Heating,0.161263335,0.185463839,0.268840663,-1.545833333,-3.746875,-5.715327381,1680.625,9.708333333,318.99
107,13-Jan,Chicago-MDW,Heating,0.248166228,0.281984695,0.385712656,-1.545833333,-3.746875,-5.715327381,1680.625,9.708333333,14.58
109,13-Jan,Chicago-MDW,Heating,0.109910086,0.123496082,0.182992837,-1.545833333,-3.746875,-5.715327381,1680.625,9.708333333,0
111,13-Mar,Chicago-MDW,Heating,0.210391889,0.238127599,0.47006447,16.125,14.58072917,10.71622024,4124.6875,5.296875,1278.73
113,13-Mar,Chicago-MDW,Heating,0.077177795,0.09814231,0.311746513,16.125,14.58072917,10.71622024,4124.6875,5.296875,677.03
115,13-Mar,Chicago-MDW,Heating,-0.107603425,-0.07090107,0.107004281,16.125,14.58072917,10.71622024,4124.6875,5.296875,318.99
117,13-Mar,Chicago-MDW,Heating,-0.00534495,0.022142565,0.224432987,16.125,14.58072917,10.71622024,4124.6875,5.296875,14.58
119,13-Mar,Chicago-MDW,Heating,-0.205734854,-0.166756822,-0.004840839,16.125,14.58072917,10.71622024,4124.6875,5.296875,0
121,14-Feb,Chicago-MDW,Heating,0.412512961,0.479574333,0.62502008,-3.1875,-3.983072917,-0.980133929,3167.5625,7.291666667,1278.73
123,14-Feb,Chicago-MDW,Heating,0.291392096,0.347885167,0.489498052,-3.1875,-3.983072917,-0.980133929,3167.5625,7.291666667,677.03
125,14-Feb,Chicago-MDW,Heating,0.156235159,0.179822128,0.276597425,-3.1875,-3.983072917,-0.980133929,3167.5625,7.291666667,318.99
127,14-Feb,Chicago-MDW,Heating,0.230260677,0.273978598,0.39805546,-3.1875,-3.983072917,-0.980133929,3167.5625,7.291666667,14.58
129,14-Feb,Chicago-MDW,Heating,0.105556972,0.118530085,0.18585057,-3.1875,-3.983072917,-0.980133929,3167.5625,7.291666667,0
131,14-Jan,Chicago-MDW,Heating,0.392515569,0.47748325,0.608684631,-5.947916667,-4.552083333,-5.919494048,5387.5,7.291666667,1278.73
133,14-Jan,Chicago-MDW,Heating,0.271678256,0.345993888,0.474607331,-5.947916667,-4.552083333,-5.919494048,5387.5,7.291666667,677.03
135,14-Jan,Chicago-MDW,Heating,0.13345933,0.180477168,0.27059236,-5.947916667,-4.552083333,-5.919494048,5387.5,7.291666667,318.99
137,14-Jan,Chicago-MDW,Heating,0.209912157,0.272438617,0.387190533,-5.947916667,-4.552083333,-5.919494048,5387.5,7.291666667,14.58
139,14-Jan,Chicago-MDW,Heating,0.083993717,0.117404809,0.18290443,-5.947916667,-4.552083333,-5.919494048,5387.5,7.291666667,0
141,14-Mar,Chicago-MDW,Heating,0.197017498,0.25886057,0.504045568,13.03645833,11.85208333,9.289508929,5272.4375,5.442708333,1278.73
143,14-Mar,Chicago-MDW,Heating,0.078719505,0.125264491,0.349456124,13.03645833,11.85208333,9.289508929,5272.4375,5.442708333,677.03
145,14-Mar,Chicago-MDW,Heating,-0.055178695,-0.019391669,0.143581242,13.03645833,11.85208333,9.289508929,5272.4375,5.442708333,318.99
147,14-Mar,Chicago-MDW,Heating,0.020573559,0.062085713,0.263156372,13.03645833,11.85208333,9.289508929,5272.4375,5.442708333,14.58
149,14-Mar,Chicago-MDW,Heating,-0.140884429,-0.111440403,0.03295753,13.03645833,11.85208333,9.289508929,5272.4375,5.442708333,0
151,15-Feb,Chicago-MDW,Heating,0.414770823,0.498547499,0.62954632,-4.778645833,-4.534375,-0.17983631,7581.75,4.723958333,1278.73
153,15-Feb,Chicago-MDW,Heating,0.28604574,0.360524704,0.492834591,-4.778645833,-4.534375,-0.17983631,7581.75,4.723958333,677.03
155,15-Feb,Chicago-MDW,Heating,0.12904939,0.176479574,0.277084708,-4.778645833,-4.534375,-0.17983631,7581.75,4.723958333,318.99
157,15-Feb,Chicago-MDW,Heating,0.21787525,0.281559888,0.400126845,-4.778645833,-4.534375,-0.17983631,7581.75,4.723958333,14.58
159,15-Feb,Chicago-MDW,Heating,0.08051416,0.114578361,0.18566727,-4.778645833,-4.534375,-0.17983631,7581.75,4.723958333,0
161,15-Jan,Chicago-MDW,Heating,0.431694262,0.503187109,0.610383175,-3.15625,-1.8609375,-6.930059524,1969.125,9.958333333,1278.73
163,15-Jan,Chicago-MDW,Heating,0.307067268,0.372642588,0.476396021,-3.15625,-1.8609375,-6.930059524,1969.125,9.958333333,677.03
165,15-Jan,Chicago-MDW,Heating,0.161505631,0.208611963,0.270493218,-3.15625,-1.8609375,-6.930059524,1969.125,9.958333333,318.99
167,15-Jan,Chicago-MDW,Heating,0.241944705,0.298177887,0.389087691,-3.15625,-1.8609375,-6.930059524,1969.125,9.958333333,14.58
169,15-Jan,Chicago-MDW,Heating,0.110430891,0.143675812,0.185106863,-3.15625,-1.8609375,-6.930059524,1969.125,9.958333333,0
171,15-Mar,Chicago-MDW,Heating,0.229445851,0.345947152,0.528086224,10.66770833,8.234635417,8.043824405,5059.4375,3.057291667,1278.73
173,15-Mar,Chicago-MDW,Heating,0.118729244,0.210922619,0.377971343,10.66770833,8.234635417,8.043824405,5059.4375,3.057291667,677.03
175,15-Mar,Chicago-MDW,Heating,0.001463657,0.062751412,0.172037903,10.66770833,8.234635417,8.043824405,5059.4375,3.057291667,318.99
