,Run Name,SET ≤ 12.2°C Hours (F),Hours < 2°C [hr],Total Deadly Days,Min outdoor DB [°C],Min outdoor DP [°C],Max outdoor DB [°C],Max outdoor DP [°C],"Caution (> 26.7, ≤ 32.2°C) [hr]","Extreme Caution (> 32.2, ≤ 39.4°C) [hr]","Danger (> 39.4, ≤ 51.7°C) [hr]",Extreme Danger (> 51.7°C) [hr],EUI,Peak Electric Demand [W],Heating Battery Size [kWh],Cooling Battery Size [kWh],Total ADORB Cost [$],First Year Electric Cost [$],First Year Gas Cost [$],First Cost [$],Wall Cost [$],Roof Cost [$],Floor Cost [$],Window Cost [$],Door Cost [$],Air Sealing Cost [$],Mechanical Cost [$],Water Heater Cost [$],Appliances Cost [$],PV Cost [$],Battery Cost [$],pv_dirEn_tot,pv_dirMR_tot,pv_opCO2_tot,pv_emCO2_tot,pv_eTrans_tot
65,M_20W-50S_ChicagoIL_Phius Precriptive_NV,0.0,0.0,4,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,41.75,53.75,44.25,0.0,13.82,3682.4,5.126827138512698,3.4166401409411047,131198.45938434964,806.6481571165867,0.0,64882.04,8303.62,4392.46,222.97,14046.94,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,30248.192147849175,75531.8765935246,1824.5262553803768,15862.048020000002,7731.816367595495
66,M_20W-50S_ChicagoIL_BASE_SchNV,1400.33,125.27,3,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,40.0,96.25,4.75,0.0,50.85,4496.86,5.954573868944037,3.995332321990744,148029.73191805687,703.2995182885327,1613.9527741179481,0,0,0,0,0,0,0,0,0,0,0,0,86893.76152089139,11922.033456269695,35296.77521191859,4475.250000000001,9441.911728977153
67,M_20W-50S_ChicagoIL_Base Elec_SchNV,1398.41,125.17,3,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,40.0,96.25,4.75,0.0,38.99,19938.21,6.304131675228664,3.995332321990744,215174.1880571701,2543.372897239006,0.0,40771.46,3105.75,557.42,222.97,3344.51,487.74,0,9500.0,1000.0,4474.0,15000.0,2521.65,95372.97199601497,51894.05306411283,14412.906076580552,11630.641230000001,41863.615690461695
68,M_20W-50S_ChicagoIL_DOE Envelope_SchNV,877.43,103.08,4,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,42.0,91.0,9.25,0.0,27.61,13088.85,5.126827138512698,3.4166401409411047,171446.58578324373,1746.2970638761349,0.0,46032.91,4473.5,2400.24,222.97,4680.31,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,65483.72877236444,57052.337377838325,8874.258249406841,12554.025705000002,27482.235678634122
69,M_20W-50S_ChicagoIL_IECC_Elec_SchNV,684.18,94.57,3,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,44.5,94.5,1.0,0.0,25.06,11934.58,5.126827138512698,3.4166401409411047,166295.22544192494,1571.1367145327663,0.0,50450.13,4930.83,2400.24,222.97,8640.21,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,58915.45751694912,61382.94522097558,7608.922655571551,13329.247815,25058.652233428693
70,M_20W-50S_ChicagoIL_IECC+0.04_Elec_SchNV,39.61,0.0,4,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,41.25,54.5,44.0,0.0,16.96,5649.65,5.126827138512698,3.4166401409411047,132417.2320594421,1014.9477880541713,0.0,54110.29,4930.83,2400.24,222.97,8640.21,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,38059.14070743967,64971.337377838325,3552.76041318924,13971.605895,11862.387665974873
71,M_20W-50S_ChicagoIL_Phius Precriptive_SchNV,0.0,0.0,4,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,41.75,53.75,44.25,0.0,13.82,3682.4,5.126827138512698,3.4166401409411047,131198.45938434964,806.6481571165867,0.0,64882.04,8303.62,4392.46,222.97,14046.94,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,30248.192147849175,75531.8765935246,1824.5262553803768,15862.048020000002,7731.816367595495
72,M_20W-50S_ChicagoIL_BASE_SchNV+ Shd,1400.33,125.27,3,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,40.0,96.25,4.75,0.0,50.85,4496.86,5.954573868944037,3.995332321990744,148029.73191805687,703.2995182885327,1613.9527741179481,0,0,0,0,0,0,0,0,0,0,0,0,86893.76152089139,11922.033456269695,35296.77521191859,4475.250000000001,9441.911728977153
73,M_20W-50S_ChicagoIL_Base Elec_SchNV+ Shd,1398.41,125.17,3,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,40.0,96.25,4.75,0.0,38.99,19938.21,6.304131675228664,3.995332321990744,215174.1880571701,2543.372897239006,0.0,40771.46,3105.75,557.42,222.97,3344.51,487.74,0,9500.0,1000.0,4474.0,15000.0,2521.65,95372.97199601497,51894.05306411283,14412.906076580552,11630.641230000001,41863.615690461695
74,M_20W-50S_ChicagoIL_DOE Envelope_SchNV+ Shd,877.43,103.08,4,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,42.0,91.0,9.25,0.0,27.61,13088.85,5.126827138512698,3.4166401409411047,171446.58578324373,1746.2970638761349,0.0,46032.91,4473.5,2400.24,222.97,4680.31,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,65483.72877236444,57052.337377838325,8874.258249406841,12554.025705000002,27482.235678634122
75,M_20W-50S_ChicagoIL_IECC_Elec_SchNV+ Shd,684.18,94.57,3,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,44.5,94.5,1.0,0.0,25.06,11934.58,5.126827138512698,3.4166401409411047,166295.22544192494,1571.1367145327663,0.0,50450.13,4930.83,2400.24,222.97,8640.21,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,58915.45751694912,61382.94522097558,7608.922655571551,13329.247815,25058.652233428693
76,M_20W-50S_ChicagoIL_IECC+0.04_Elec_SchNV+ Shd,39.61,0.0,4,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,41.25,54.5,44.0,0.0,16.96,5649.65,5.126827138512698,3.4166401409411047,132417.2320594421,1014.9477880541713,0.0,54110.29,4930.83,2400.24,222.97,8640.21,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,38059.14070743967,64971.337377838325,3552.76041318924,13971.605895,11862.387665974873
77,M_20W-50S_ChicagoIL_Phius Precriptive_SchNV+ Shd,0.0,0.0,4,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,41.75,53.75,44.25,0.0,13.82,3682.4,5.126827138512698,3.4166401409411047,131198.45938434964,806.6481571165867,0.0,64882.04,8303.62,4392.46,222.97,14046.94,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,30248.192147849175,75531.8765935246,1824.5262553803768,15862.048020000002,7731.816367595495
78,M_20W-50S_ChicagoIL_BASE_DC,1400.52,125.27,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,155.0,0.0,0.0,0.0,50.85,4496.86,5.954573869558773,65.52461875019243,148067.95786595915,703.2995182885327,1613.9527741179481,0,0,0,0,0,0,0,0,0,0,0,0,86893.76152089139,11922.033456269695,35335.00115982093,4475.250000000001,9441.911728977153
79,M_20W-50S_ChicagoIL_Base Elec_DC,1398.59,125.17,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,155.0,0.0,0.0,0.0,38.99,19938.21,6.304132056000492,64.65718196829368,242194.16416580242,2543.372897239006,0.0,64112.68,3105.75,557.42,222.97,3344.51,487.74,0,9500.0,1000.0,4474.0,15000.0,25862.87,95372.97199601497,74777.60208372067,14452.949055605142,15727.025340000002,41863.615690461695
80,M_20W-50S_ChicagoIL_DOE Envelope_DC,877.64,103.08,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,159.25,0.0,0.0,0.0,27.61,13088.85,5.126827138512698,47.57456198898248,191105.22561479488,1746.2970638761349,0.0,63012.0,4473.5,2400.24,222.97,4680.31,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,19029.82,65483.72877236444,73698.504044505,8906.901119291377,15533.856,27482.235678634122
81,M_20W-50S_ChicagoIL_IECC_Elec_DC,684.31,94.57,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,158.5,0.0,0.0,0.0,25.06,11934.58,5.126827138512698,38.08509856571567,181559.1172369248,1571.1367145327663,0.0,63633.44,4930.83,2400.24,222.97,8640.21,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,15234.04,58915.45751694912,74307.75894646578,7634.329820081176,15642.91872,25058.652233428693
82,M_20W-50S_ChicagoIL_IECC+0.04_Elec_DC,39.69,0.0,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,160.75,0.0,0.0,0.0,16.96,5649.65,5.126827138512698,28.609693735638253,143294.252428351,1014.9477880541713,0.0,63503.44,4930.83,2400.24,222.97,8640.21,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,11443.88,38059.14070743967,74180.30796607363,3572.3123688628552,15620.103720000001,11862.387665974873
83,M_20W-50S_ChicagoIL_Phius Precriptive_DC,0.0,0.0,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,157.75,0.0,0.0,0.0,13.82,3682.4,5.126827138512698,23.270485802292868,139603.2485293524,806.6481571165867,0.0,72139.5,8303.62,4392.46,222.97,14046.94,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,9308.19,30248.192147849175,82647.0334562697,1840.474307638051,17135.73225,7731.816367595495
84,M_20W-50S_ChicagoIL_BASE_DC+Shd,1400.52,125.27,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,155.0,0.0,0.0,0.0,50.85,4496.86,5.954573869558773,65.52461875019243,148067.95786595915,703.2995182885327,1613.9527741179481,0,0,0,0,0,0,0,0,0,0,0,0,86893.76152089139,11922.033456269695,35335.00115982093,4475.250000000001,9441.911728977153
85,M_20W-50S_ChicagoIL_Base Elec_DC+Shd,1398.59,125.17,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,155.0,0.0,0.0,0.0,38.99,19938.21,6.304132056000492,64.65718196829368,242194.16416580242,2543.372897239006,0.0,64112.68,3105.75,557.42,222.97,3344.51,487.74,0,9500.0,1000.0,4474.0,15000.0,25862.87,95372.97199601497,74777.60208372067,14452.949055605142,15727.025340000002,41863.615690461695
86,M_20W-50S_ChicagoIL_DOE Envelope_DC+Shd,877.64,103.08,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,159.25,0.0,0.0,0.0,27.61,13088.85,5.126827138512698,47.57456198898248,191105.22561479488,1746.2970638761349,0.0,63012.0,4473.5,2400.24,222.97,4680.31,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,19029.82,65483.72877236444,73698.504044505,8906.901119291377,15533.856,27482.235678634122
87,M_20W-50S_ChicagoIL_IECC_Elec_DC+Shd,684.31,94.57,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,158.5,0.0,0.0,0.0,25.06,11934.58,5.126827138512698,38.08509856571567,181559.1172369248,1571.1367145327663,0.0,63633.44,4930.83,2400.24,222.97,8640.21,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,15234.04,58915.45751694912,74307.75894646578,7634.329820081176,15642.91872,25058.652233428693
88,M_20W-50S_ChicagoIL_IECC+0.04_Elec_DC+Shd,39.69,0.0,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,160.75,0.0,0.0,0.0,16.96,5649.65,5.126827138512698,28.609693735638253,143294.252428351,1014.9477880541713,0.0,63503.44,4930.83,2400.24,222.97,8640.21,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,11443.88,38059.14070743967,74180.30796607363,3572.3123688628552,15620.103720000001,11862.387665974873
89,M_20W-50S_ChicagoIL_Phius Precriptive_DC+Shd,0.0,0.0,0,-28.591895645171174,-34.70817912008244,41.913886675765866,26.920226989834905,157.75,0.0,0.0,0.0,13.82,3682.4,5.126827138512698,23.270485802292868,139603.2485293524,806.6481571165867,0.0,72139.5,8303.62,4392.46,222.97,14046.94,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,9308.19,30248.192147849175,82647.0334562697,1840.474307638051,17135.73225,7731.816367595495
