Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),FRIDGE:Electric Equipment Electricity Energy [J](Hourly),RANGE:Electric Equipment Electricity Energy [J](Hourly),CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),ZONE 1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE 1:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE 1:Zone Air Temperature [C](Hourly),ZONE 1:Zone Air Relative Humidity [%](Hourly),ZONE 1:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),ZONE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE 1:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 02/08  12:00:00,7.6125,4.625,81.25,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,7.030435668231954,0.0,19.940982360151268,43.08895659864672,767.2899324054254,127036.67420999904,14082.627272701246,22.797674689542867,19.115736685131059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/08  13:00:00,7.2,4.4,82.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,6.586310744472259,0.0,19.938083414938676,41.80061689645807,756.139643335775,185830.55742786238,0.0,22.807838256212638,19.0789078642845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/08  14:00:00,7.2,4.0249999999999999,80.125,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,6.2407845330901889,0.0,19.9372385184044,40.81848223286078,749.1508505023634,197286.5768033113,705744.0916337629,22.842614517222299,19.052333850769537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/08  15:00:00,7.8875,3.8,75.25,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,5.931816969199581,0.0,19.93829497381273,39.952774485175087,748.4816862310988,0.0,3448942.843035155,22.973877097391456,19.030891360529134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/08  16:00:00,8.3,3.4875,71.75,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,5.733097153239354,0.0,19.93872778856204,39.405446843536967,756.1299021032291,0.0,2101239.35894879,23.03819127734146,19.01707612388838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/08  17:00:00,7.6125,3.3,74.125,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,5.5434776679851869,0.0,19.93222470972581,38.90585393101321,764.7099473675228,412349.8332389075,180075.5771030143,22.98786122720244,18.99687781111929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/08  18:00:00,6.512499999999999,3.3,79.75,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,5.47021290919166,0.0,19.928614553306966,38.71698058984138,779.0724123987978,2398246.2135531769,0.0,22.823291840322708,18.9879749462613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/08  19:00:00,5.725,2.6125,80.125,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,5.286083665994723,0.0,19.93012663499925,38.221699671688217,782.236028169367,3095609.5459746236,0.0,22.711673779993249,18.976705901037705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/08  20:00:00,5.1875,2.5125,82.75,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,4.937289051017907,0.0,19.93009627859503,37.30349756868435,778.1280859209957,4184985.803539525,0.0,22.622898800850316,18.952697231859067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/08  21:00:00,4.625,2.3875,85.625,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,4.807972199850503,0.0,19.928811654211065,36.970982043889168,781.7836728898428,6868011.9512187079,0.0,22.555909121708944,18.94260179522261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/08  22:00:00,3.7124999999999996,1.8250000000000002,87.875,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,4.621792821617799,0.0,19.925913071728659,36.49975898506805,783.3589244235511,7698790.1273389779,0.0,22.497674001559426,18.92710919684497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/08  23:00:00,2.925,1.2875,89.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,4.318916920881391,0.0,19.923490556540388,35.73933553327464,782.009724546583,8389009.315217836,0.0,22.447031728119066,18.9045889288966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/08  24:00:00,2.3875,0.725,89.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,3.956752683590759,0.0,19.9218946395426,34.84531756353735,779.5308660122838,8885775.103209798,0.0,22.4035845065781,18.879489617655893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  01:00:00,1.8250000000000002,0.5,90.875,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,3.5862093617419679,0.0,19.919996615450957,33.95143590690257,777.2968316251847,9341710.222990897,0.0,22.367221822691389,18.85406154789851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  02:00:00,1.2875,0.1875,92.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,3.27612793256519,0.0,19.918077886751257,33.21969583107287,776.6570857979701,9700834.304423564,0.0,22.336440099355067,18.832844399904397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  03:00:00,1.1,-0.375,89.5,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,2.950598583402377,0.0,19.91759095591501,32.46379328065786,776.7127873246266,9788622.64483557,0.0,22.312497978575175,18.81257132050147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  04:00:00,1.1,-0.6,88.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,2.6040827298585587,0.0,19.917876975405659,31.674007199348954,776.7833920685152,9831728.000677392,0.0,22.294081504288529,18.792263749818117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  05:00:00,0.4125,-0.9749999999999999,89.875,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,2.2989037482506484,0.0,19.91542400966054,30.997905888073896,776.1194308713477,10908769.502100155,0.0,22.273263953514858,18.771911731037414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  06:00:00,-0.375,-1.2,93.5,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,1.9884084982394188,0.0,19.912513943213129,30.32381495247745,773.7761799255721,13311384.115831463,0.0,22.248925878182776,18.751109394626906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  07:00:00,-0.225,-1.2,92.5,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,1.7447589887265614,0.0,19.913180599127977,29.798347348318477,771.5667185177806,13360392.94206269,0.0,22.233208211347156,18.738122173135758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  08:00:00,0.3125,-0.825,91.625,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,1.602109893283763,0.0,19.914651359575168,29.492448258198587,771.2347155691438,8951934.776252447,0.0,22.298034579037727,18.73175264449676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  09:00:00,1.1875,-0.225,90.125,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,1.6429967096488639,0.0,19.915333035873144,29.577843231748937,772.5125131134444,4691643.150611083,0.0,22.470657047190945,18.73473224606724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  10:00:00,3.35,0.3125,80.875,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,1.8732308359764328,0.0,19.92135387883188,30.05869592243439,777.5034225422155,568757.8995890354,583743.5422048821,22.660943467543505,18.75391077135641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  11:00:00,5.4624999999999999,1.1875,74.125,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,2.2881563100502477,0.0,19.92943469527878,30.948216829021953,789.3308662658567,0.0,4656033.385278659,22.822694207763619,18.786026048675568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  12:00:00,7.4750000000000009,1.6,66.75,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,2.835051780476433,0.0,19.936246864277036,32.16229661078472,805.3909581342296,0.0,6165623.512537707,22.943628544573956,18.825220406653004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  13:00:00,8.9875,2.2875000000000007,63.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,3.354327920719843,0.0,19.93909356109277,33.36167689117344,823.5596301144931,0.0,6494846.675528291,23.043305826316638,18.859668924916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  14:00:00,9.4,2.7,63.0,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,3.896314541557854,0.0,19.943817387069886,34.650871902871049,836.7920256588263,0.0,5836812.324080163,23.141651787374287,18.898527447685173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  15:00:00,9.4,3.075,64.875,0.0,118767.12328767123,0.0,0.0,0.0,0.0,0.0,0.0,4.335228753000349,0.0,19.945881400183177,35.730987791359869,842.542052835218,0.0,5353181.394713521,23.235599710888054,18.929000888087005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
